t,Rec2_Obs,IR2in_Obs,Uptake1_Obs
0,1604.45536290758,0.113949330372347,0
9,1302.99309656289,NaN,NaN
9.5,NaN,27.3511092521022,NaN
10,NaN,NaN,0.797049898333023
20,1518.46103311766,39.2854673477055,1.60619174478318
30,1355.75223154679,29.6581143304217,NaN
35,NaN,NaN,1.3237741194332
40,1621.37880182236,38.7497463136771,NaN
45,NaN,NaN,1.23171560279215
50,1388.23709507199,33.330112126529,NaN
60,1296.83735772819,39.1008594259729,1.68175136226863
75,1551.23546291133,27.4815602835009,NaN
80,NaN,NaN,2.31904781355703
90,1510.91860457777,22.0882340717583,NaN
95,NaN,NaN,1.70973157929377
100,1384.20243673018,28.1264298505484,2.38585971494232
150,1842.52256627987,26.3885741714084,2.37631947662747
200,1467.9766031639,17.6024564077716,2.03305634805655
