t,TGFb_pRec_Obs,S4_Obs,geneB_Obs,geneD_Obs,geneJ_Obs
0,-0.002347628618185,72.736737245661,0.636542190089358,1.16403303955089,0.845227005516379
45,0.194898177995551,NaN,NaN,NaN,0.931034253506804
65,NaN,57.3131234466197,6.98636544605349,NaN,NaN
70,NaN,NaN,NaN,1.26595106567505,NaN
90,NaN,NaN,NaN,NaN,0.803520990419271
95,0.154416351270227,NaN,NaN,NaN,NaN
150,0.0919877523333228,55.0371214926581,10.6726641482914,1.38718723221331,0.870486457162777
200,0.0605284163350546,50.8281400932375,11.3881427589503,1.65667301992098,0.793643617245408
250,0.0353052019551462,57.1954756912922,11.154834323868,NaN,0.689329276885128
300,NaN,NaN,NaN,2.14574924385897,0.812950464897629
350,0.00779041195974942,66.338909179987,10.9053465417021,NaN,0.931569858486784
400,0.0142110192861946,NaN,11.181016585033,1.91261098060966,NaN
450,NaN,63.8277474428312,NaN,NaN,0.852226882979909
500,0.00364686561330869,NaN,9.64510277805798,1.90840514224031,NaN
550,NaN,60.7827714659174,NaN,NaN,1.02331806650867
600,-0.00454685966539245,NaN,6.82772665621489,1.89349010594649,NaN
650,NaN,71.202952092456,NaN,NaN,0.951490066317561
700,0.00370621353818743,NaN,NaN,NaN,NaN
750,NaN,67.5770852611574,3.73851627438648,2.11850884749589,NaN
800,NaN,NaN,NaN,NaN,0.896117063044366
850,-0.00198028289468446,NaN,2.81550688325767,NaN,NaN
900,NaN,61.3540236673796,NaN,NaN,NaN
950,NaN,NaN,NaN,1.7483048955452,NaN
1000,-0.00116119033316794,65.1315593849454,1.78828938888209,1.75629781522489,NaN
1500,NaN,71.1611424931017,0.603538188201124,1.58089594134806,NaN
