t,TGFb_pRec_Obs,S4_Obs,geneB_Obs,geneD_Obs,geneJ_Obs
0,0.001452264793339,210.16250208156,2.30167685624028,1.19140756129975,1.0096653681317
50,NaN,136.771295465322,NaN,NaN,NaN
55,NaN,NaN,NaN,NaN,0.812936987595475
65,NaN,NaN,NaN,1.38935830126296,NaN
70,0.17600616883933,NaN,7.22575752930084,NaN,NaN
100,NaN,136.457025404892,NaN,NaN,0.805291739860215
150,0.0929686631716682,150.08162979788,10.9848778420112,1.21225882202859,0.635060599729088
200,0.0559011631254359,164.916430149256,11.3453167948923,1.68216496504452,NaN
250,NaN,177.676952837823,NaN,NaN,0.825129356770485
300,0.0183808197824983,NaN,12.0083153570972,1.97441359930339,0.660774969569118
350,NaN,182.711932711414,12.2736546732663,1.85254742910479,NaN
400,0.0128635217986394,183.470931609614,NaN,NaN,0.72753439953706
450,NaN,NaN,11.3969770550119,2.15143404793012,NaN
500,0.00772178977018816,192.357564618438,NaN,NaN,0.816239414707153
550,NaN,NaN,8.76717469142936,2.16202075125944,NaN
600,-6.32557766293632e-07,209.014082089943,NaN,NaN,0.91146508149761
700,NaN,190.983348239704,5.8112859467169,1.90299752350201,0.864161865363945
750,7.80653911952383e-05,NaN,NaN,NaN,NaN
800,NaN,200.415202662175,NaN,NaN,NaN
850,NaN,NaN,3.96413088176306,2.07744156877903,0.998943552456428
900,0.000729606645853622,NaN,NaN,NaN,NaN
950,NaN,207.908386352893,NaN,NaN,NaN
1000,0.00377004483284839,192.187453628059,2.46046557952638,1.66518684900225,NaN
1500,NaN,NaN,1.63284673242776,1.66850353618222,NaN
