t,TGFb_pRec_Obs,S4_Obs,geneB_Obs,geneD_Obs,geneJ_Obs
0,0.000142611640092627,70.3648963367534,2.45362334134209,0.908151525800712,1.04805041620039
50,NaN,NaN,NaN,NaN,0.757759034617154
60,0.185241004317856,NaN,NaN,NaN,NaN
65,NaN,57.347729434265,NaN,0.875968468578937,NaN
75,NaN,NaN,8.49691764613151,NaN,NaN
100,0.144291628933429,NaN,NaN,NaN,0.62642595802923
150,NaN,71.4518980532741,11.074577121208,1.32913960380731,0.602362298992645
200,0.0516819747157469,56.2192324319592,NaN,1.78297313436869,0.555296229590933
250,0.0384409584030323,61.7990388747775,13.8043304474683,NaN,0.537130427235904
300,0.0270706334369152,NaN,14.4614097925898,1.49852224388766,NaN
350,NaN,61.7613450251965,NaN,1.84213868612897,0.678225598516108
400,0.00994618028396172,NaN,14.0333708642419,NaN,0.636638776586605
450,NaN,68.0406071569263,NaN,1.64856506698821,NaN
500,0.0116738042993072,NaN,12.3048468370905,NaN,0.682488331788293
550,NaN,70.9168362531932,NaN,2.09595826500195,NaN
600,0.00106485100313568,NaN,NaN,NaN,0.790712784776532
650,NaN,69.2084147241511,8.40141433057357,NaN,NaN
700,NaN,NaN,NaN,2.1104345565584,NaN
750,0.00347660522195225,72.7793603109976,NaN,NaN,0.916252413541741
800,NaN,NaN,4.15732705851215,2.04854730822559,NaN
850,0.00524851497190177,NaN,NaN,NaN,NaN
900,NaN,59.146224807483,NaN,NaN,0.947898432998361
950,NaN,NaN,2.90322965992204,NaN,NaN
1000,0.00203682854003238,74.0036193087207,1.1046455043659,1.86257868450203,NaN
1500,NaN,67.9021777441919,0.989929699004882,1.49394676858719,NaN
