t,TGFb_pRec_Obs,S4_Obs,geneB_Obs,geneD_Obs,geneJ_Obs
0,0.0196520415759471,211.200043218834,0.98440026695133,0.927731799382264,1.00395286144764
9.5,NaN,NaN,0.932964919455456,NaN,NaN
10,-0.165565848891683,234.689279743352,NaN,1.08297325732201,1.01559561781739
20,NaN,NaN,1.06323344911453,1.06873029979071,NaN
25,0.0362531099093075,203.838658606732,NaN,NaN,1.16138739855921
30,NaN,NaN,1.15421955540251,NaN,NaN
35,NaN,NaN,NaN,0.992397440958204,NaN
40,0.0765792450244176,224.974202897567,NaN,NaN,0.971518763156077
45,NaN,NaN,1.09489527410895,0.957127331841861,NaN
55,-0.025435174450437,216.671505670158,0.917204821905865,NaN,1.02916512468822
60,NaN,NaN,NaN,1.21618875241151,NaN
70,-0.0225820973008496,183.523437131333,NaN,NaN,0.938062463208924
75,NaN,NaN,0.892183200913253,NaN,NaN
80,NaN,NaN,NaN,0.798720915631793,NaN
90,0.135585927202665,NaN,NaN,NaN,0.963930264143763
95,NaN,190.168496133852,NaN,NaN,NaN
