t,TGFb_pRec_Obs,S4_Obs,geneB_Obs,geneD_Obs,geneJ_Obs
0,-0.135307460696839,79.0562066805077,1.00321209833474,1.07090796579082,0.985487830607901
10,-0.0134516835271152,82.7624411367591,0.861959624426364,0.953248839585025,NaN
15,NaN,NaN,NaN,NaN,1.01950205147592
20,0.0378458936118591,NaN,NaN,NaN,NaN
25,NaN,70.0776465424153,1.24247071959246,1.01121701755007,0.945311742162542
30,-0.112219356949827,NaN,NaN,NaN,NaN
35,NaN,58.3163155818282,NaN,NaN,NaN
40,NaN,NaN,0.942454553402285,0.897411015747013,0.885429427025243
45,-0.0271475929323901,NaN,NaN,NaN,NaN
50,NaN,74.2034830780924,NaN,NaN,NaN
55,NaN,NaN,1.10182163229774,1.03585272988439,NaN
60,-0.0168933813951221,NaN,NaN,NaN,0.987254084770701
65,NaN,69.8121662834062,NaN,NaN,NaN
70,NaN,NaN,0.931254735574134,0.986124367082112,NaN
75,0.103046464897384,NaN,NaN,NaN,1.03639743179405
85,NaN,71.6193788320244,NaN,NaN,NaN
90,NaN,NaN,1.05080168466477,1.13698465918905,NaN
100,NaN,NaN,NaN,NaN,0.928169658605676
