t,TGFb_pRec_Obs,S4_Obs,geneB_Obs,geneD_Obs,geneJ_Obs
0,0.121096743124524,68.2143410166366,0.964744700621822,0.96883899739727,1.03305107848644
10,NaN,71.5725687812443,NaN,1.03491297988238,1.04777627764003
15,0.139195812518849,NaN,0.98447653900913,NaN,NaN
20,NaN,NaN,NaN,1.10080688759776,NaN
25,-0.0160273698868208,69.7815630010022,NaN,NaN,0.921398111229184
30,NaN,NaN,1.03170441128974,NaN,NaN
35,NaN,68.9159832476707,NaN,1.04405255766592,1.01808777346253
40,0.0303110589910778,NaN,NaN,NaN,NaN
45,NaN,NaN,1.01564298389273,NaN,NaN
50,NaN,65.5266567986743,NaN,1.06483747405933,1.12752997452667
60,-0.0543965722401323,NaN,0.974073368727647,NaN,NaN
65,NaN,74.4655732540821,NaN,1.15772858234735,1.01395188346528
80,0.160441770232901,NaN,1.09165597401474,NaN,NaN
85,NaN,65.5624769195001,NaN,1.05012575936845,1.04887910893906
100,0.0465966597924116,NaN,1.11046905549269,NaN,NaN
