t,TGFb_pRec_Obs,S4_Obs,geneB_Obs,geneD_Obs,geneJ_Obs
0,0.00231665177593845,70.9629727948499,1.57185362683632,1.11377433359157,0.924708688897269
60,0.192134337548063,NaN,6.72185680871835,NaN,0.862381561111837
65,NaN,40.7693349366394,NaN,1.43578728785502,NaN
100,0.142984546634672,NaN,9.42166117561231,NaN,0.763281783781493
150,NaN,46.0406812257172,NaN,1.71956486409226,NaN
200,0.057664168477403,43.3515667624383,12.1306914355239,1.79570812907624,0.732251707610038
250,0.0398803593740211,45.5008161519624,12.1086394892003,1.89255086836661,0.69366368475586
300,NaN,NaN,12.8010482569172,NaN,NaN
350,0.0174543093752009,57.0358963478562,NaN,1.91836420634304,0.70849880976836
400,0.00884074119938447,NaN,11.7193452235905,NaN,0.850603938416184
450,NaN,64.8170849007079,10.0157381313495,1.99851289455655,NaN
500,0.00648551561050319,63.0840911315463,NaN,NaN,0.864489993256624
550,NaN,NaN,9.95616517365383,1.79420518687597,NaN
650,0.00404645408639247,68.1320358243399,6.97336482323419,2.09671049603849,0.95729876302956
750,-0.00268762648701408,75.6992959465719,6.44762468231039,NaN,NaN
800,NaN,NaN,NaN,2.02993538902907,0.975670528280771
900,NaN,68.7763339264795,3.74460792177972,NaN,NaN
950,0.00215940633278967,NaN,NaN,NaN,0.987972853594948
1000,0.00581251251630534,77.8436556654661,3.43269531881435,2.10208236937997,NaN
1500,NaN,68.8053864630561,0.138947586510782,1.94431829708743,NaN
