t,epo_level,STAT5_Obs,SOCS3nRNA1_Obs
120,2.5e-09,78.968140637059,0.00387430134155654
120,2.5e-09,89.5553620366394,0.00450296138113707
120,2.5e-09,99.5213949841088,0.00503420286106521
120,2.5e-08,80.0236156343892,0.00496451293317969
120,2.5e-08,82.1840542905209,0.00460416837287404
120,2.5e-08,83.3799676478163,0.00467865569337125
120,1.25e-07,72.6940517675625,0.00481164294607738
120,1.25e-07,73.5873940822488,0.00441095310343318
120,1.25e-07,75.7734209339154,0.0052298588989071
120,2.5e-07,69.9302973000207,0.00505141293351237
120,2.5e-07,73.4427910841823,0.00473867938331238
120,2.5e-07,78.8632621103863,0.00540658463492549
120,2.5e-06,44.4898549308653,0.00614585856700918
120,2.5e-06,54.2052923843599,0.0060628019278724
120,2.5e-06,55.7241898473571,0.00650635296017167
