t,CISHnRNA2_Obs,SOCS3nRNA1_Obs,SOCS3nRNA3_Obs,SOCS3nRNA5_Obs
0,0.000108257695033231,0.00452668453219206,0.00499112308682585,0.00425688623052813
4.5,NaN,0.00235090611991594,NaN,NaN
5,NaN,NaN,0.00297389855752148,NaN
5.5,0.000147245005426787,NaN,NaN,0.00605056086835857
9.5,NaN,-0.000322829239516318,NaN,NaN
10,0.000111000868454806,NaN,0.0028742949837564,0.00341229399072338
15,5.00422020847422e-05,0.000316297925432666,0.00386623548701652,0.00252166380159318
20,NaN,0.000286480997465018,NaN,NaN
25,8.7276232242399e-05,NaN,0.000652792491083658,0.00266177906278852
30,4.09386792868047e-05,0.000162224429801772,0.000491620239520732,0.00189126505345841
35,NaN,0.000851106164096116,NaN,NaN
40,6.95405826999029e-05,NaN,0.00186013949962941,0.000889555212316297
50,5.98890919184472e-05,NaN,0.00279859771009607,0.00192438316937365
60,5.04316305540254e-05,NaN,0.00173077170799235,0.00114867987953112
70,6.7283232225894e-05,NaN,NaN,NaN
75,NaN,NaN,0.00143062671086765,0.00147325631170355
85,3.77377780041604e-05,NaN,NaN,NaN
90,NaN,NaN,NaN,0.00125637079741929
