t,PTP_Obs,CISHnRNA2_Obs,SOCS3nRNA4_Obs,Compound_1_Obs
0,48.8845693018923,0.0051554655721111,0.00461317384508229,-3.59055847350783
4,86.1012105190338,NaN,NaN,NaN
7.5,NaN,NaN,NaN,10.3052049160853
8.5,143.058668024362,NaN,NaN,NaN
10,NaN,NaN,0.00346540486799955,NaN
15,-28.250367576037,0.00526144189149655,NaN,18.2976076992634
20,124.759238814494,NaN,NaN,NaN
25,138.152009645394,NaN,0.00654173251767934,7.03337215816461
30,NaN,0.0147530192072476,NaN,11.9981583555895
35,112.732298768401,NaN,0.00756317394472881,NaN
40,188.123817027662,NaN,NaN,13.4293952168463
45,NaN,0.021602062695812,NaN,NaN
50,NaN,NaN,0.00555428703811838,8.58795498744986
55,137.815374633796,NaN,NaN,NaN
60,NaN,0.0170923376131637,NaN,NaN
65,NaN,NaN,0.00439268579773277,7.5947166844523
75,NaN,NaN,NaN,4.95049623399507
80,NaN,0.0100170398783958,NaN,NaN
85,NaN,NaN,0.00344064327311515,NaN
90,NaN,NaN,NaN,11.0291251252746
100,NaN,0.010115334851896,0.00312257294583142,3.82776165729621
150,NaN,0.00634055528635309,0.0060711701565537,3.95912426750675
200,NaN,0.00656748830135465,NaN,NaN
