t,PTP_Obs,STAT5_Obs,CISHnRNA2_Obs,SOCS3nRNA1_Obs,Compound_1_Obs
0,157.076693992138,92.9325299114127,0.000335286765973828,0.00452305434028632,-0.226392502990498
4.5,141.44398212021,NaN,NaN,NaN,NaN
5.5,NaN,75.0691927803551,NaN,NaN,NaN
8,NaN,NaN,NaN,NaN,14.7808713597625
9.5,160.392517169598,NaN,NaN,NaN,NaN
10,NaN,69.6632407067538,0.000982440946442891,0.00494775953476596,NaN
15,145.636610012584,NaN,NaN,NaN,15.2381041678634
20,172.427844327813,78.3494171490047,0.00883254821401161,NaN,NaN
25,133.513105542152,78.0915631444149,NaN,0.00539875082803177,13.5456747764401
30,NaN,77.0811179981236,0.0169341153045268,NaN,NaN
35,130.986335651918,NaN,NaN,NaN,10.9596580686586
40,NaN,78.0732711800881,NaN,0.00509570806368178,NaN
45,146.818243348504,NaN,0.0189177910256303,NaN,8.84136582571071
50,NaN,72.1475276213337,NaN,NaN,NaN
55,145.474376775902,NaN,0.0181020234878693,0.00513833917858529,8.42019704215254
60,NaN,75.8474310386621,NaN,NaN,NaN
65,146.554269071007,NaN,NaN,NaN,NaN
70,NaN,88.0997508753749,0.0168868683759134,NaN,5.36604212694715
75,NaN,NaN,NaN,0.00517891356375875,NaN
85,NaN,93.1287616981986,NaN,NaN,4.40283397233988
90,NaN,NaN,0.0116227740721355,NaN,NaN
95,NaN,NaN,NaN,0.00435157368864363,NaN
100,NaN,77.6440995973157,0.00721725361316802,0.00466279390737672,2.95740719912901
150,NaN,NaN,0.00349851328511118,0.00452240797618125,2.09532034248947
200,NaN,NaN,0.00436402512759186,0.0042923971072574,1.50264189288711
