t,epo_level,CISHnRNA2_Obs,Compound_1_Obs
44,2.5e-09,7.51261086666764e-05,0.231602380541609
44,2.5e-09,0.00173251953984055,0.448798206726099
44,2.5e-09,0.00754822204992895,3.47975363797869
44,2.5e-08,0.0163015789107589,13.2445139565339
44,2.5e-08,0.0203496618678868,16.196436531796
44,2.5e-08,0.0232288247396319,13.9146239919328
44,1.25e-07,0.0535604852090778,27.2667439893696
44,1.25e-07,0.0552937227506679,26.6896515455848
44,1.25e-07,0.0560285552456803,25.5162751812425
44,2.5e-07,0.0763901733255611,33.2097603517208
44,2.5e-07,0.0778729945509345,32.2669746016795
44,2.5e-07,0.0782485670707227,27.7518842744996
44,1.25e-06,0.079808404351374,38.5287449956626
44,1.25e-06,0.0809941668799208,35.4050209906375
44,1.25e-06,0.0866073052727084,35.1534082862221
44,2.5e-06,0.0842150979801862,38.081631223726
44,2.5e-06,0.0871019797776219,39.5817108853692
44,2.5e-06,0.0925846616792813,41.4897467661686
