t,CISHRNA_Obs,SOCS3nRNA1_Obs,SOCS3nRNA3_Obs,SOCS3nRNA5_Obs
0,0.000163330625699373,0.000161162362552426,0.000156065262878917,0.00012981325134928
5,NaN,3.05391536889941e-05,7.26438682943004e-06,NaN
5.5,NaN,NaN,NaN,2.12875191512531e-05
10,NaN,3.74716078904787e-05,5.54686700662652e-06,1.44403297063314e-05
15,NaN,3.61191568396931e-05,5.39961542277375e-06,NaN
20,0.000139445612596923,NaN,NaN,1.21160586103518e-05
25,NaN,-1.01165481642646e-05,2.44925838751375e-05,4.44981461882626e-05
30,NaN,2.48274013662757e-05,NaN,NaN
35,0.000101043710046824,NaN,2.37894856500741e-05,2.36607344892967e-05
55,8.12758147077547e-05,NaN,NaN,NaN
75,6.82517921045645e-05,NaN,NaN,NaN
100,5.04367502687202e-05,NaN,NaN,NaN
150,6.95803241226878e-05,NaN,NaN,NaN
200,6.84559171400467e-06,NaN,NaN,NaN
250,2.32181923364186e-05,NaN,NaN,NaN
300,6.47079488815671e-05,NaN,NaN,NaN
