t,STAT5_Obs,SOCS3nRNA1_Obs,SOCS3nRNA3_Obs,SOCS3nRNA5_Obs
0,9.82017718330881,9.91210657811161e-05,0.000166559346824265,0.000230172529984294
25,-2.03556682215802,0.000159848100786363,NaN,NaN
30,NaN,NaN,0.000159281308839197,NaN
35,NaN,NaN,NaN,4.26125943685893e-05
50,NaN,0.000221512413018383,NaN,NaN
55,2.70983590197209,NaN,NaN,NaN
65,NaN,NaN,0.000161357881249665,NaN
75,NaN,NaN,NaN,0.000173336432319294
80,0.635553996636209,0.000154141307441359,NaN,NaN
100,4.81191375256396,0.000136024727966646,0.000152325280818956,0.000153472678143146
150,4.35069739161226,0.000159321252665276,0.000174431375734436,0.000114403875652402
200,4.82363737781936,0.000207497223492088,0.000188124499899277,NaN
250,0.388823244742674,NaN,0.000199700332155612,0.000140080367041032
300,4.65418926107829,NaN,NaN,NaN
400,3.65198315622982,NaN,NaN,NaN
450,4.83100551151142,NaN,NaN,NaN
550,4.1954367773526,NaN,NaN,NaN
