t,STAT5_Obs,CISHnRNA2_Obs,SOCS3nRNA1_Obs,Compound_1_Obs
0,88.0527392967155,0.000146131652796345,0.00466549583496972,-0.0196104115940453
8,92.1743628973615,NaN,NaN,NaN
15,102.648115962461,0.000116681864608627,0.00402449467326368,0.206647609600565
25,86.9416271607736,NaN,0.0050221964414719,0.293231071481322
35,99.6704235711709,0.000337857952461923,NaN,NaN
40,NaN,NaN,0.00438967256625963,0.251689997678011
45,86.1403538952102,NaN,NaN,NaN
50,NaN,0.000423460172034851,NaN,NaN
55,87.2832018051313,NaN,NaN,0.225213098536846
60,NaN,NaN,0.00461352527664826,NaN
70,78.6112170382505,0.000434404241050863,NaN,0.196497786639302
80,NaN,NaN,0.00433850332785265,NaN
85,92.3992546785802,NaN,NaN,NaN
90,NaN,NaN,NaN,0.130001738537149
95,NaN,0.000372431142662083,NaN,NaN
100,85.0174025240296,0.00032342934379317,0.00460759489343166,0.136229466708602
150,95.7350552706531,0.000270434912816686,0.0046699231348481,0.101735630583158
200,NaN,0.000243100020085525,NaN,0.111235512234121
250,NaN,0.000231561723184782,NaN,0.100611265829775
