t,epo_level,PTP_Obs
17,2.5e-09,28.7907734662298
17,2.5e-09,31.3673186359195
17,2.5e-09,34.7912120090978
17,7.905e-09,30.136480138095
17,7.905e-09,30.9284567325663
17,7.905e-09,32.2204194884145
17,1.25e-08,33.1274822016904
17,1.75e-08,29.0488417377362
17,1.75e-08,29.5802233028113
17,1.75e-08,32.4133180376629
17,2.5e-08,30.96261286268
17,3.95e-08,26.9996794397592
17,3.95e-08,28.3898911197752
17,3.95e-08,35.7475002683904
17,7.9e-08,33.3388178417772
17,1.25e-07,32.4685118961228
17,1.25e-07,33.6239806296941
17,1.25e-07,34.8322776089469
17,1.7675e-07,24.4557975695978
17,1.7675e-07,32.5013145216091
17,1.7675e-07,33.359039375065
17,2.5e-07,33.3766971502823
17,7.905e-07,31.7102588425435
17,2.5e-06,37.6192385328284
