t,epo_level,CISHRNA_Obs
13,6.6667e-07,0.00013587946208544
13,6.6667e-07,0.000138146619850659
13,1.3333e-06,0.000152877773119534
13,1.3333e-06,0.000171330374828553
13,2.6667e-06,0.000143426383377124
13,2.6667e-06,0.000160001924978262
13,5.3333e-06,0.000152669109616015
13,5.3333e-06,0.000167513467823696
13,1.0667e-05,0.000137499050262837
13,1.0667e-05,0.000166530120603842
13,2.1333e-05,0.000127525136444741
13,2.1333e-05,0.000182028535881898
13,4.2667e-05,0.000132978713658512
13,4.2667e-05,0.000160456739750351
