t,PTP_Obs,STAT5_Obs,CISHnRNA2_Obs,SOCS3nRNA1_Obs,SOCS3nRNA2_Obs,SOCS3nRNA3_Obs,SOCS3nRNA4_Obs,SOCS3nRNA5_Obs,Compound_1_Obs
0,38.366182527687,50.445939200376,-0.00481386893019972,0.00106583368808571,0.00372109932652841,0.00506984516768442,0.00627340775291804,0.0035138334200791,-3.59567688077108
5.5,34.7825536478158,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10,42.6170127164191,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
15,40.1533446575455,36.3051265011715,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20,NaN,NaN,NaN,0.00193434068522124,NaN,NaN,NaN,NaN,38.7568485528043
25,38.1177135684669,NaN,NaN,NaN,0.0113112273744314,0.00744783245028253,0.00961133349034721,0.00435575754372859,NaN
30,38.0652606173026,1.00295942769898,0.0505696992775273,NaN,NaN,NaN,NaN,NaN,NaN
35,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.4603860532497
40,42.3870496275902,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
45,NaN,NaN,NaN,0.00749181902915682,NaN,NaN,NaN,NaN,NaN
50,NaN,53.2884458921197,NaN,NaN,0.00694945459788193,0.00357170055984809,0.00654769158838881,0.0100698870251183,NaN
55,42.6729120997499,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17.57549045482
65,32.541489546532,72.5175460241608,0.0368168717462456,0.00962761550138598,NaN,NaN,NaN,NaN,NaN
75,NaN,NaN,NaN,NaN,0.00412970290285139,NaN,NaN,NaN,NaN
80,NaN,NaN,NaN,NaN,NaN,0.0044814974178044,0.00514033673970314,0.00722595540874428,10.6476518934122
85,NaN,60.3873443864602,NaN,NaN,NaN,NaN,NaN,NaN,NaN
90,NaN,NaN,NaN,0.00481242564146847,NaN,NaN,NaN,NaN,NaN
100,NaN,79.994964756518,0.0311071007886873,0.00367312896743577,0.00677497882069959,0.00453006096446341,0.00767370923115186,0.00561039239367607,6.53530856025195
150,NaN,73.5887765515173,0.0147956199770451,0.00475596103576285,0.00682883454158891,0.00496482967487319,0.00268734502837019,0.00372349287666957,17.6131678902096
200,NaN,65.8776318038388,0.0258170970512842,0.00367434199130236,0.00489238666118633,0.00271462272243797,0.00496455557733739,0.00671272845278525,7.64972476574737
250,NaN,99.4332264412161,0.0133653836712046,0.00778820712404845,NaN,NaN,NaN,NaN,9.82898366555836
300,NaN,74.6492789766419,0.0174398456274501,0.000460495594254778,NaN,NaN,NaN,NaN,7.15361532252442
350,NaN,103.300021383435,0.0103121409781429,0.00411589266536302,NaN,NaN,NaN,NaN,6.85421858285555
450,NaN,NaN,0.0241310803951621,NaN,NaN,NaN,NaN,NaN,NaN
