t,SOCS3nRNA3_Obs,SOCS3nRNA4_Obs,SOCS3nRNA5_Obs
0,0.00463287739435633,0.00451673256303063,0.00411126200589232
4,NaN,NaN,0.0043634994638001
4.5,NaN,0.00417178411833969,NaN
5,0.00399217666957222,NaN,NaN
8,NaN,NaN,0.00409054038079213
9.5,NaN,0.00346652360486622,NaN
10,0.0028202202362706,NaN,0.00353689367035499
15,0.00180809605029305,0.00228318485969174,0.00290949200505371
20,0.00193949504461436,0.00196900416116001,0.0023336362322656
25,NaN,0.00171894755025832,0.00174350659688745
30,0.00165838235595271,NaN,NaN
35,0.00167079576206498,0.00164912514267665,0.00180009418950085
40,NaN,0.00217451292260033,0.00157464224988699
45,0.00144564821779891,NaN,NaN
50,NaN,0.00143806186742442,0.00182943089760473
55,0.00179016748450467,NaN,NaN
60,NaN,NaN,0.00186035258399668
65,0.00151436941310021,0.00144196244399012,NaN
70,NaN,NaN,0.00206865353829821
75,NaN,0.00201974003051847,NaN
80,0.00159897728365308,NaN,NaN
