t,SOCS3nRNA3_Obs,SOCS3nRNA4_Obs,SOCS3nRNA5_Obs
0,0.000189271423767839,0.000175534256530449,0.000162592961145268
30,NaN,0.000154883463899025,NaN
35,0.00017113865721744,NaN,NaN
40,NaN,NaN,0.00014935831194648
65,NaN,0.00014902783402676,NaN
75,0.000151232089581164,NaN,NaN
80,NaN,NaN,0.000155376858178001
100,0.00015285164343279,0.000157937974427448,NaN
150,0.000180320029287651,0.000177933642990815,0.000173239333499102
200,0.000151059598353984,0.000171908033597154,0.000152204333926138
250,NaN,0.00017867014766454,0.000168184731416339
300,0.000161708179995463,NaN,NaN
