t,STAT5_Obs,CISHnRNA2_Obs,SOCS3nRNA1_Obs,Compound_1_Obs
0,86.2470792150977,-0.000993960671713312,0.00176307697077281,-1.32464245904118
10,27.7402323224067,NaN,NaN,NaN
15,NaN,NaN,0.00255726194267666,55.9927624823212
20,NaN,0.0101758333778915,NaN,NaN
25,26.304520996879,NaN,NaN,46.3505156931725
35,28.3739449248413,0.0245883992106731,0.00329467915064002,NaN
40,NaN,NaN,NaN,32.784186957722
50,44.7705499297536,NaN,0.00270708532156919,NaN
55,NaN,0.0241652075978843,NaN,21.9426720865938
65,49.6699321283842,NaN,NaN,NaN
70,NaN,NaN,0.00268450810547405,20.3906076031969
75,NaN,0.0175569659723334,NaN,NaN
80,54.551523626744,NaN,NaN,NaN
85,NaN,NaN,NaN,20.7209004712438
95,NaN,NaN,0.00225801115797331,NaN
100,63.5098966642264,0.0126047906379232,0.00193876579542082,15.3056150667081
150,70.8531308381555,0.0106089825967693,0.00196696192471351,12.0924954978718
200,75.0174880235046,0.00873094201703248,0.00194322161479353,9.01094244797457
250,76.9164015409938,0.00895027874732996,0.0015514165067054,11.4952215855203
300,NaN,0.00626523634424691,NaN,NaN
