t,SOCS3nRNA3_Obs,SOCS3nRNA4_Obs,SOCS3nRNA5_Obs
0,0.000172722536385581,0.000179725375903105,0.000160452733420556
30,NaN,0.000167297197538089,0.000152513320739678
35,0.000155815014400229,NaN,NaN
60,NaN,0.000175440399104915,0.000166617276155252
70,0.000169418861057957,NaN,NaN
95,NaN,0.000145564928511627,0.000152279327740311
100,0.00019348395671433,NaN,NaN
150,0.0001541412396691,0.000168412542175064,0.000165996596479874
200,0.000173676237658132,0.000164781497874145,0.000167816749401756
250,0.000157834715567573,0.000158117669265301,NaN
