t,CISHnRNA2_Obs,Compound_1_Obs
0,0.000155549000852358,0.0803568532925467
15,NaN,0.232601777728921
20,0.00013636944572714,NaN
30,NaN,0.428269027438631
40,0.000205042908338255,0.27049291590466
60,NaN,0.329597301366976
65,0.000221819985826265,NaN
75,NaN,0.0941598682086465
90,0.000181307521819085,NaN
95,NaN,0.259179964844314
100,0.000197262733540223,0.158342788796782
150,0.000224873332107764,0.105695984988821
200,0.000188660649246091,0.234807718709369
250,0.000256210483785534,0.241901978942922
300,0.000135137387561017,NaN
