t,CISHnRNA2_Obs,Compound_1_Obs
0,0.000123965469543201,-0.735490277666423
7,NaN,78.9853449308622
10,0.0112304704776137,NaN
15,NaN,60.8317165201603
20,NaN,58.5978245386979
25,0.0625143420324663,NaN
30,NaN,42.3863328508086
35,0.0801481313534166,NaN
40,NaN,37.0783348734439
50,0.0821618797351725,32.7303246056279
60,NaN,31.121238806143
65,0.068746871992718,NaN
75,NaN,23.1770406667824
80,0.053690794481875,NaN
90,NaN,24.7143559021739
100,0.0450360019752859,21.4060313703623
150,0.0368228082770917,21.6607907916593
200,0.0373340841524062,NaN
