t,SOCS3nRNA3_Obs,SOCS3nRNA4_Obs,SOCS3nRNA5_Obs
0,0.000153221515623031,0.000144037400726019,0.000164016217632996
10,0.000165416565281423,NaN,NaN
15,NaN,0.000157318241554377,0.000162074884976466
25,0.000170662938309274,NaN,0.000176185277185102
30,NaN,0.000168198562966905,NaN
40,0.000171922307298288,NaN,0.000161360673435986
45,NaN,0.000156882361982373,NaN
55,0.000144231239728461,NaN,NaN
60,NaN,0.000151659837592271,0.00016959023590854
75,0.000147755713094186,NaN,0.000153956350186319
80,NaN,0.000170957443437253,NaN
95,0.00015875774269401,NaN,NaN
100,NaN,0.000189214186442664,0.000167058953264042
