t,STAT5_Obs,CISHnRNA2_Obs,SOCS3nRNA1_Obs,Compound_1_Obs
0,95.9929744289637,0.00100199685664306,0.00469738329055171,-0.91790578244909
9,45.4302700435503,NaN,NaN,NaN
10,NaN,NaN,NaN,44.6471566773447
15,NaN,0.0130300905930616,0.00547649274506345,NaN
20,41.3087967294834,NaN,NaN,NaN
25,NaN,NaN,NaN,38.8458749815699
30,29.0516379503086,0.0420114235390261,NaN,NaN
35,NaN,NaN,0.00836688291180068,32.3629428483624
40,40.7684733754526,NaN,NaN,NaN
45,NaN,0.0602070698266185,NaN,NaN
50,52.7636170124207,NaN,0.00694432165790749,23.2596571999949
60,59.7190459152756,0.0537334498885464,NaN,NaN
65,NaN,NaN,NaN,17.6552059018287
70,NaN,NaN,0.00602160323854418,NaN
75,52.8173701208169,0.0434911244120976,NaN,NaN
80,NaN,NaN,NaN,14.146904773374
90,64.4030116051612,NaN,NaN,NaN
95,NaN,NaN,0.00552235804364309,NaN
100,75.4189163831787,0.026708928409119,0.00416345947818696,10.0662352615484
150,71.4018298847783,0.0195206052513076,0.00387354459985187,9.69703765618568
200,83.7682265555173,0.0187712866761708,0.00515114908530834,9.35270898985036
250,NaN,0.0133948398387191,0.00480314232139579,NaN
