t,AC_Fsk_Obs,Compound_2_Obs,Compound_3_Obs
0,-0.0164537170493144,-0.670575764572428,0.180255700000302
2.5,NaN,21.5664066566968,NaN
3.5,0.545928578103693,NaN,NaN
5.5,NaN,19.0789746778134,0.261576145528318
7.5,0.529970879983866,NaN,NaN
9,NaN,21.5198738568636,NaN
10,0.544842763153493,21.4760285880625,0.282578231483236
15,0.505308142512605,20.606743894715,NaN
20,NaN,21.6843584408256,0.324319600655317
25,0.462401022726826,22.5390660247276,0.368086751094024
30,0.520281849120875,NaN,NaN
35,NaN,NaN,0.355111174058645
45,NaN,NaN,0.385529467123485
55,NaN,NaN,0.334746973290017
