t,AC_Fsk_Obs,Compound_2_Obs,Compound_3_Obs
0,-0.0583450202141229,0.461440537954472,0.174600450709088
3,0.046911123752832,NaN,NaN
4,NaN,NaN,0.238596630938724
6,0.0639480787377364,NaN,NaN
6.5,NaN,0.449622465610141,NaN
8,NaN,NaN,0.299081243914644
9,0.0397746611097061,NaN,NaN
10,NaN,NaN,0.303825054965499
15,-0.0500870684260054,0.456206898922729,0.365102609298546
20,0.02215500328121,0.494629176484035,0.355517934268187
25,-0.0363412285073271,NaN,NaN
30,NaN,0.479249050927452,0.357260774004525
35,NaN,NaN,0.351952054599688
40,NaN,0.483491959621247,NaN
45,NaN,NaN,0.341043054007421
50,NaN,NaN,0.346640449851226
55,NaN,0.508614147029224,NaN
65,NaN,NaN,0.325009772233393
