t,IPR_O_Obs,IPR_S_Obs,IPR_I2_Obs,Compound_1_Obs,Compound_2_Obs
0,0.000493272809168936,0.00648037893120324,0.00752265339738401,1.00275668151346,-0.0054404563402388
0.2,NaN,NaN,NaN,0.145245634809488,NaN
0.35,NaN,0.158258777753553,NaN,NaN,0.604994145009503
0.4,0.027653151699446,NaN,0.232209360490529,NaN,NaN
0.45,NaN,NaN,NaN,0.0243967006388298,NaN
0.7,NaN,NaN,NaN,0.0229727610496838,NaN
0.75,NaN,0.203897205840969,NaN,NaN,0.450950412681112
0.8,NaN,NaN,0.333087331482109,NaN,NaN
0.85,0.0194413735589211,NaN,NaN,NaN,NaN
0.95,NaN,NaN,NaN,0.0119580529233524,NaN
1,NaN,0.225856627042932,0.383793915579864,NaN,0.406633022829588
1.5,0.0173292744363122,0.214701788494388,0.401102741240688,0.022906498113932,0.386698927608563
2,0.0171605344110189,0.216175556562774,0.436617157394725,0.0237249569725343,0.362038075980564
2.5,0.0170414409558581,NaN,NaN,NaN,0.343697684648376
3,0.0169754868990727,0.194399219788047,0.414146063969757,NaN,0.361872557902756
3.5,NaN,0.19400425409624,0.430606382132804,NaN,0.330817796333042
4,0.0167070684592805,NaN,NaN,NaN,NaN
4.5,0.0156966091858612,NaN,NaN,NaN,0.375873941572751
5.5,0.0154413946331269,NaN,NaN,NaN,0.336353345327903
6.5,NaN,NaN,NaN,NaN,0.3668284763647
7,0.0149679356595987,NaN,NaN,NaN,NaN
