t,IPR_O_Obs,IPR_S_Obs,IPR_I2_Obs,Compound_1_Obs,Compound_2_Obs
0,-0.000191826161686239,0.000816053234160365,-0.00152276893194132,0.993494485095032,0.00713065252934726
0.2,NaN,NaN,NaN,0.0500094279917213,NaN
0.35,0.0275399579968229,NaN,0.209103462221741,NaN,0.596321924568697
0.4,NaN,NaN,NaN,0.0292840730450106,NaN
0.45,NaN,0.187750307962552,NaN,NaN,NaN
0.65,NaN,NaN,0.321379165820684,0.01534083309512,NaN
0.7,0.0200648818332874,NaN,NaN,NaN,0.451938771133235
0.9,NaN,0.220772862844901,NaN,0.0175956648203908,NaN
1,0.0183815785941749,NaN,0.359688359152093,0.0128170021541467,0.401605241816179
1.5,0.0165478580566813,0.224347010063735,0.389178556491018,0.00812849908299768,0.346866799293039
2,0.0157942014297571,0.206834607798411,0.408264923239392,0.0132793940886351,0.381017844583099
2.5,0.0164450213397944,NaN,0.442212044050943,NaN,0.366533674806799
3,0.0170900506400028,0.1978850700413,0.435491895192102,NaN,0.344757502451048
3.5,0.0179053463670851,0.198253873374724,0.440968841294817,NaN,NaN
4,NaN,NaN,0.411643061575417,NaN,0.345347170010884
4.5,0.0172331746887134,NaN,NaN,NaN,0.362634026736799
5,NaN,NaN,0.416381515641239,NaN,NaN
5.5,0.0158894596303343,NaN,NaN,NaN,0.346799913675252
6,NaN,NaN,0.44310715379099,NaN,NaN
