t,IPR_O_Obs,IPR_S_Obs,IPR_I2_Obs,Compound_1_Obs,Compound_2_Obs
0,-3.86629136620552e-05,-8.63730819493528e-05,-0.0174479010596687,0.996011518839264,-0.00993015690527107
0.1,NaN,NaN,NaN,0.041805125245072,NaN
0.2,NaN,NaN,0.219492546019317,-0.00462313486713833,0.734101188531112
0.25,0.000930832084231253,NaN,NaN,NaN,NaN
0.3,NaN,0.00434777226023917,NaN,0.000800996908536738,NaN
0.4,NaN,NaN,0.426551078116086,NaN,0.580305568902721
0.45,NaN,NaN,NaN,-0.00280177178890988,NaN
0.5,0.00064905223532743,NaN,NaN,NaN,NaN
0.55,NaN,NaN,NaN,0.00483456713260723,NaN
0.6,NaN,NaN,0.515008259917539,NaN,0.503212886616218
0.65,NaN,0.00646906720389909,NaN,NaN,NaN
0.7,NaN,NaN,NaN,0.000262512498855186,NaN
0.8,0.000559075040937877,NaN,NaN,NaN,0.416895412701727
0.85,NaN,NaN,0.551423186571327,NaN,NaN
0.9,NaN,NaN,NaN,0.0014733750307427,NaN
1,0.000485060067537441,0.00627425702500676,0.595572324635797,0.00157396713114157,0.400326253367373
1.5,0.000459758118505956,0.00608426396936471,0.640396727092352,NaN,0.379890600850589
2,0.000447144391496935,0.00532777537896307,0.669101216358664,NaN,0.327178192272271
2.5,0.000450279079518266,0.00551668054486269,0.66244115357622,NaN,0.317636310704488
3,0.000428676009199302,0.00515272928792539,NaN,NaN,0.348519704567121
3.5,NaN,0.00533200026278652,0.67013081538026,NaN,0.326866126846486
4,NaN,NaN,NaN,NaN,0.347533355791714
4.5,NaN,0.00490199314607833,NaN,NaN,NaN
