t,IPR_O_Obs,IPR_S_Obs,IPR_I2_Obs,Compound_1_Obs,Compound_2_Obs
0,-0.00118651631283543,-0.0131232178784128,0.000945071203853364,0.991679762197456,-0.00566846363317419
0.2,NaN,NaN,NaN,0.106428856824588,NaN
0.3,0.0799694129902313,0.653691112873535,NaN,NaN,NaN
0.4,NaN,NaN,NaN,0.048964802597346,0.199547681656415
0.65,0.0620895083211033,0.722219108061407,NaN,0.0551397471012247,NaN
0.8,NaN,NaN,NaN,NaN,0.16630622301798
0.9,NaN,NaN,NaN,0.0583602237777456,NaN
1,0.0561361521657138,0.744212264768911,NaN,0.0458039781898235,0.173270758558736
1.5,0.0582527170675309,0.72393747174626,NaN,0.0625522454725526,0.167746576032028
2,0.0563728933043356,0.696144690563837,0.0857652450107098,0.0613694896086279,0.165219343491055
2.5,0.0566356911678928,0.700932905763719,NaN,NaN,NaN
3,0.0564847731210989,0.699816680349746,NaN,NaN,0.163627109948181
3.5,0.0561940479218288,NaN,NaN,NaN,0.158516229173488
4,NaN,NaN,0.0860336090280316,NaN,0.171012107353272
4.5,0.0609663073905745,NaN,NaN,NaN,NaN
5,0.0580303601511141,NaN,NaN,NaN,0.16359759670015
6,NaN,NaN,0.0932562022610178,NaN,0.166088173191889
8.5,NaN,NaN,0.0959356811845386,NaN,NaN
10,NaN,NaN,0.0908670763400173,NaN,NaN
15,NaN,NaN,0.091849055831264,NaN,NaN
20,NaN,NaN,0.0946467664929793,NaN,NaN
