t,IPR_O_Obs,IPR_S_Obs,IPR_I2_Obs,Compound_1_Obs,Compound_2_Obs
0,-1.48101733911096e-06,-7.15218116270641e-06,-0.00218939630525909,0.995656009057352,-0.0134494174932003
0.085,NaN,NaN,NaN,0.0699076049027765,NaN
0.15,NaN,NaN,NaN,0.00506931789891563,NaN
0.2,NaN,NaN,0.221952727915733,NaN,0.743386541081666
0.25,8.44148534806668e-05,NaN,NaN,-0.00424301553357659,NaN
0.35,NaN,NaN,NaN,-0.00558672904579627,NaN
0.4,NaN,NaN,NaN,NaN,0.589702635729403
0.45,NaN,0.000572098026959864,0.46040879980584,NaN,NaN
0.5,NaN,NaN,NaN,-0.00458751175898285,NaN
0.55,5.8723548210523e-05,NaN,NaN,NaN,NaN
0.6,NaN,NaN,NaN,0.00377996556543493,0.46703887510567
0.65,NaN,NaN,0.575990295702247,NaN,NaN
0.8,NaN,NaN,NaN,-0.0130680056852317,0.431998121278792
0.85,4.94592110634479e-05,NaN,NaN,NaN,NaN
0.9,NaN,NaN,0.614714225127494,NaN,NaN
0.95,NaN,0.000581608126363623,NaN,-0.00658448282033434,NaN
1,4.65721956566767e-05,NaN,0.614060483236183,NaN,0.375803082797015
1.5,4.01438722073042e-05,0.000561120411279148,0.645641778125814,NaN,0.352968821746317
2,4.14885204044816e-05,0.000517841349608216,0.658810922276077,NaN,0.358729736087465
2.5,3.62824782566633e-05,0.000503418995430789,0.64759834440795,NaN,0.352125661035627
3,4.01694864850416e-05,NaN,0.634271882770258,NaN,0.347220386947167
3.5,3.90933183215262e-05,0.000485352139847921,0.656140674287743,NaN,0.329667505136216
4,NaN,NaN,0.699140696417252,NaN,NaN
4.5,NaN,0.000511535961524872,NaN,NaN,NaN
5.5,NaN,0.000514745798290546,NaN,NaN,NaN
