t,IPR_O_Obs,IPR_S_Obs,IPR_I2_Obs,Compound_1_Obs,Compound_2_Obs
0,0.000564524027048201,0.00121754921022797,0.00443872985858267,1.00105047486949,0.000623016781134608
0.2,NaN,NaN,NaN,0.0391258851334225,NaN
0.3,NaN,NaN,NaN,NaN,0.592447861050153
0.35,NaN,NaN,NaN,0.0303993948660582,NaN
0.4,0.0248172060573289,NaN,0.234964948766095,NaN,NaN
0.5,NaN,0.213355395536912,NaN,NaN,NaN
0.6,NaN,NaN,NaN,0.0238513178037074,0.451419778658267
0.8,0.0196790124377673,NaN,0.339932712863897,0.0145816856420158,NaN
0.9,NaN,NaN,NaN,NaN,0.394188244916654
1,0.0184922687986181,0.228574894437698,NaN,0.0143637249867751,0.369033750010564
1.5,0.0162968940687485,0.210294805024931,0.364090132977486,0.0152387644509372,0.376274902710569
2,0.0163439779317448,NaN,0.417770144833247,0.0228944245957869,0.368025802682995
2.5,NaN,0.200576724463875,0.424433079066653,NaN,0.365545010579657
3,0.0159849054818671,0.194260643616513,0.441217670267622,NaN,0.356115823744305
3.5,0.0165719227256935,NaN,NaN,NaN,0.353307980471225
4,NaN,0.195896051718186,0.445934035131737,NaN,NaN
4.5,0.0172678408590485,NaN,NaN,NaN,0.356822358634004
5,0.0158312236044193,NaN,NaN,NaN,NaN
5.5,NaN,NaN,NaN,NaN,0.355361663237354
6.5,0.016331779914662,NaN,NaN,NaN,NaN
