t,IPR_O_Obs,IPR_S_Obs,IPR_I2_Obs,Compound_1_Obs,Compound_2_Obs
0,0.000193801790741625,-0.00138964104054464,0.00352612501191017,1.00078308150366,0.0166277469624144
0.1,NaN,NaN,NaN,0.0429229337684389,NaN
0.2,NaN,NaN,NaN,NaN,0.738573192492921
0.25,0.0069754321056545,NaN,NaN,0.00489713882553664,NaN
0.35,NaN,0.0396177209026141,NaN,0.00306615751656862,NaN
0.4,NaN,NaN,0.355272721759132,NaN,NaN
0.45,NaN,NaN,NaN,NaN,0.567611297803253
0.5,NaN,NaN,NaN,-0.00440426498593004,NaN
0.55,0.0053833616554809,NaN,NaN,NaN,NaN
0.65,NaN,0.0497582330684572,NaN,0.00517534732959302,0.477808970468358
0.85,0.00420083609654877,NaN,NaN,0.00198825388113378,NaN
0.9,NaN,NaN,0.51631555221388,NaN,0.445262216978595
1,0.00404377824882927,0.0497035726574133,NaN,0.0052453327983163,0.427097555886163
1.5,0.00365872560665576,0.050337747326125,0.57941949338407,-0.000611696636323823,0.384406196261939
2,0.0040311588975011,0.0458776359472551,0.58429907292123,NaN,0.374848888787569
2.5,0.0036672715959199,0.0448158417594869,0.593368597833852,NaN,0.392452699506562
3,0.00372170183370035,0.0461510463412792,NaN,NaN,0.389583452464236
3.5,0.00364058902788276,0.0439179868383201,0.576913569559815,NaN,0.380459099406092
4.5,0.00363430451099665,0.0473642325344467,NaN,NaN,NaN
