t,IPR_O_Obs,IPR_S_Obs,IPR_I2_Obs,Compound_1_Obs,Compound_2_Obs
0,0.00126971525687287,0.000416302308366165,-0.0111199508748333,1.00529178684552,0.0158569779443841
0.2,NaN,NaN,NaN,0.0648634303854182,NaN
0.3,NaN,0.394760420483601,NaN,NaN,NaN
0.35,NaN,NaN,NaN,0.0670260439633913,0.411485586850492
0.4,0.0512569317539039,NaN,NaN,NaN,NaN
0.55,NaN,NaN,NaN,0.0523586692929557,NaN
0.65,NaN,0.464746523222168,NaN,NaN,NaN
0.7,NaN,NaN,NaN,NaN,0.312745982720933
0.8,0.0396411147450093,NaN,NaN,0.0453427046734682,NaN
1,NaN,0.488810021652182,NaN,0.028676266172447,0.273037796714372
1.5,0.0384039321669384,0.471008822055806,NaN,0.0340712895536568,0.275201277229116
2,0.0367615032520994,0.4496517473376,NaN,NaN,0.263112574825692
2.5,0.0379078958257512,0.421408229299318,NaN,NaN,0.281993113468173
3,0.0381521536903111,0.454383387351191,0.241370849315508,NaN,NaN
3.5,0.0384596392344937,NaN,NaN,NaN,0.275923754973365
6.5,NaN,NaN,0.242553465306312,NaN,NaN
10,NaN,NaN,0.237902740748976,NaN,NaN
15,NaN,NaN,0.247710226408506,NaN,NaN
