t,Compound_1_Obs,Compound_2_Obs,Compound_3_Obs
0,24970194.9027015,16612310.2194253,42978808.3497598
3,NaN,NaN,154939942.445849
3.5,154890070.413332,74977330.8941736,NaN
6,NaN,NaN,232631230.49183
7,210755654.155873,114078287.823488,NaN
9.5,NaN,NaN,386580441.091116
10,198562024.537147,133904694.553771,NaN
15,307778541.463511,117147546.485325,512662837.872363
20,270777967.249617,204210317.976937,502649004.338118
25,250707815.128232,190193065.637991,476195860.887218
30,204923663.260583,189528772.187554,656322187.202941
35,366546193.397003,200482816.094732,NaN
40,NaN,NaN,624286408.914326
45,297051160.879145,149274738.367335,503607132.249169
55,289019289.811081,204299040.455617,690852266.137086
65,335778953.939818,161206408.514618,533518244.440859
