t,X_protein_Obs,Z_protein_Obs,GFP_Obs,Y_mRNA_Obs,Z_mRNA_Obs
0,2.50610623145053,2.30596215523263e-05,0.107327045073077,1246.12282388515,540.531578733001
25,NaN,NaN,NaN,1.35227110398049,0.178843629880795
30,NaN,NaN,3.01837733687315,NaN,NaN
45,2002.41916422254,NaN,NaN,NaN,NaN
50,NaN,4401.41110857162,NaN,1.15237104641942,0.211555975080577
55,NaN,NaN,4.58533120969415,NaN,NaN
80,NaN,NaN,NaN,0.899128958778044,0.429088245388576
85,NaN,NaN,15.6284646433348,NaN,NaN
95,426.858391585735,NaN,NaN,NaN,NaN
100,NaN,572.42540668893,13.1019265920025,1.72674751002803,0.318855339365377
150,568.290469187768,256.045352586681,26.0239649649924,1.48535699414717,0.563454627552337
200,475.232681212631,472.456994878259,25.9751608653092,1.18650382470972,0.717809392763185
250,668.889137823635,NaN,29.1495069618167,1.89524890137526,0.462863863413529
300,NaN,309.788923359515,34.607572924374,1.12578034160925,0.566838677467507
350,418.071447940644,NaN,52.9590362764708,NaN,NaN
400,512.466409875361,427.994469234597,NaN,NaN,NaN
450,NaN,314.731920521152,16.7006858861865,NaN,NaN
500,496.803206991846,NaN,NaN,NaN,NaN
600,412.86215475962,NaN,NaN,NaN,NaN
750,596.853235062137,NaN,NaN,NaN,NaN
900,284.764146469981,NaN,NaN,NaN,NaN
1000,493.149963321867,NaN,NaN,NaN,NaN
