t,IPR_O_Obs,IPR_R_Obs,IPR_I1_Obs,IPR_S_Obs,IPR_I2_Obs
0,0.00248603873173907,1.01244418456722,-6.53966784960208e-10,0.00420039691554893,0.0419769030001956
0.09,NaN,-0.00111337182764934,NaN,NaN,NaN
0.2,0.0309328936984426,-0.00666207053890764,NaN,0.0591809087567222,0.211908208717487
0.3,NaN,0.0150686487476521,NaN,NaN,NaN
0.4,NaN,-0.010278121530845,NaN,0.0743111035871531,0.336590425750022
0.45,0.0279213448015997,NaN,NaN,NaN,NaN
0.55,NaN,0.0223551653760108,NaN,NaN,NaN
0.65,0.020542346974251,NaN,NaN,0.0797771814081254,0.412723134891687
0.7,NaN,-0.00996967869249807,NaN,NaN,NaN
0.9,0.0181604325216277,NaN,NaN,0.0788416854613534,NaN
0.95,NaN,-0.00259146080340769,NaN,NaN,0.407353251860478
1,0.0190524088641519,NaN,NaN,0.0832405028307701,NaN
1.5,0.0187586587541072,NaN,NaN,0.0677410967489021,0.450916998773791
2,0.021838864275172,NaN,3.03825184317428e-08,0.0644183731748234,NaN
2.5,0.019695142425294,NaN,NaN,NaN,NaN
3,0.0183165088918201,NaN,NaN,NaN,NaN
3.5,0.0208522427744675,NaN,NaN,NaN,NaN
4,NaN,NaN,1.55170040362587e-09,NaN,NaN
6,NaN,NaN,8.58672833767823e-11,NaN,NaN
8.5,NaN,NaN,-1.10016424515064e-09,NaN,NaN
10,NaN,NaN,1.3688687928175e-10,NaN,NaN
15,NaN,NaN,6.43373290362285e-10,NaN,NaN
20,NaN,NaN,7.21934142398032e-11,NaN,NaN
