t,IPR_O_Obs,IPR_R_Obs,IPR_I1_Obs,IPR_S_Obs,IPR_I2_Obs
0,-0.000683832508274876,0.997778574140373,-4.42369241017879e-09,0.0357784607410129,-0.0148125708395988
0.1,NaN,0.00192407216462913,NaN,NaN,NaN
0.15,0.148691570102088,NaN,NaN,0.22802144544287,NaN
0.2,NaN,-0.00956734785715069,NaN,NaN,NaN
0.3,0.117117082454793,NaN,2.90349566381248e-07,NaN,NaN
0.35,NaN,0.0130751110444717,NaN,0.296577774605857,NaN
0.4,NaN,NaN,NaN,NaN,0.0875118021990961
0.5,0.101198408581308,0.0102252724712144,NaN,NaN,NaN
0.55,NaN,NaN,NaN,0.343276362636333,NaN
0.65,0.103492198916491,-0.0103576437013372,1.67834894943932e-07,NaN,NaN
0.75,NaN,NaN,NaN,0.331800180082765,NaN
0.8,NaN,NaN,NaN,NaN,0.12917620378026
0.85,0.110683817979363,-0.00426200416560841,NaN,NaN,NaN
1,0.0990107690536628,0.00406776862642162,9.66107342097343e-08,0.359855177972023,NaN
1.5,0.0895416447742172,NaN,3.75736232902741e-08,0.325375255942874,0.143983702640187
2,0.0934214237096393,NaN,2.66377933020489e-08,NaN,0.159571753733925
2.5,0.11279524493385,NaN,1.48059880845416e-09,NaN,0.152533792407718
3,0.0939978074151962,NaN,9.93526987845343e-09,NaN,0.149457816322569
3.5,NaN,NaN,1.8508345666013e-09,NaN,NaN
4.5,NaN,NaN,-3.46801132899313e-09,NaN,NaN
5,NaN,NaN,3.43055746261672e-09,NaN,NaN
