t,IPR_O_Obs,IPR_R_Obs,IPR_I1_Obs,IPR_S_Obs,IPR_I2_Obs
0,-0.000940542631059184,0.999018766754779,-2.4325625913e-09,0.0104622903746926,-0.0176962720368232
0.1,NaN,-0.00520517429540584,NaN,NaN,NaN
0.2,NaN,0.00221911193769855,NaN,0.114107241489169,0.117944564274083
0.25,0.065832056399154,NaN,NaN,NaN,NaN
0.3,NaN,NaN,3.78067460632861e-07,NaN,NaN
0.35,NaN,-0.00235115408050831,NaN,NaN,NaN
0.4,NaN,NaN,NaN,0.186333754559687,NaN
0.45,NaN,NaN,NaN,NaN,0.18385092645621
0.5,0.0631752219866898,0.00468083586637177,NaN,NaN,NaN
0.6,NaN,NaN,2.31664102619508e-07,0.204271579050169,NaN
0.65,NaN,-0.00919330354139215,NaN,NaN,NaN
0.7,NaN,NaN,NaN,NaN,0.240466634717342
0.75,0.0571179828903384,NaN,NaN,NaN,NaN
0.85,NaN,0.0112790579025695,NaN,0.187265537311814,NaN
0.9,NaN,NaN,1.33585869452688e-07,NaN,NaN
0.95,NaN,NaN,NaN,NaN,0.266472121243679
1,0.0546915920259828,-0.00681920855783312,1.22043187153329e-07,0.192235133480849,NaN
1.5,0.0593004347614336,NaN,5.01223196056801e-08,0.159724374205841,0.28769789933862
2,0.054320069551256,NaN,2.27881116258195e-08,0.170433294314811,0.273187261154644
2.5,NaN,NaN,9.57009088500428e-09,NaN,NaN
3,NaN,NaN,1.09098202748698e-08,NaN,NaN
3.5,NaN,NaN,4.24629436579449e-09,NaN,NaN
4.5,NaN,NaN,-1.95531867929074e-09,NaN,NaN
5.5,NaN,NaN,4.18166921303406e-09,NaN,NaN
