t,IPR_O_Obs,IPR_R_Obs,IPR_I1_Obs,IPR_S_Obs,IPR_I2_Obs
0,7.67960832412677e-05,0.995045445125938,6.60824135048515e-12,-2.58677849716293e-05,0.0266904336368246
0.09,NaN,0.0351360285914082,NaN,NaN,NaN
0.1,NaN,NaN,NaN,NaN,0.259469577322923
0.2,0.00109520801674338,0.0110300176631868,NaN,NaN,NaN
0.25,NaN,NaN,NaN,0.00240485173684895,0.498499650059013
0.3,NaN,-0.00448977279915591,NaN,NaN,NaN
0.4,0.000710889191944655,0.00124720926662265,NaN,NaN,0.615964986887279
0.5,NaN,0.00986578148613756,NaN,0.00233066283843754,NaN
0.55,NaN,NaN,NaN,NaN,0.759731207178864
0.6,0.00067091050154218,NaN,NaN,NaN,NaN
0.65,NaN,-0.0152410383205759,NaN,NaN,NaN
0.7,NaN,NaN,NaN,NaN,0.708992110446263
0.75,NaN,NaN,NaN,0.00213313526667091,NaN
0.8,NaN,-0.00984352973968556,NaN,NaN,NaN
0.85,0.000539259916858725,NaN,NaN,NaN,NaN
0.9,NaN,NaN,NaN,NaN,0.732357460796595
1,0.000522294557371432,-0.000880436683894774,NaN,0.0017977329249199,0.650186637801479
1.5,0.000549713716399483,NaN,NaN,0.00179914373624817,0.698245988687563
2,0.00056981402924594,NaN,NaN,0.00175283034150712,NaN
2.5,0.000459860181993833,NaN,1.64717783477537e-08,0.00160936975871296,NaN
3,0.000545039848088114,NaN,NaN,0.00192444574937804,NaN
3.5,NaN,NaN,NaN,0.00186635785438097,NaN
4.5,NaN,NaN,NaN,0.00194204150735831,NaN
5.5,NaN,NaN,7.33897183812652e-12,NaN,NaN
8.5,NaN,NaN,-8.47014908573857e-12,NaN,NaN
10,NaN,NaN,2.8975979374492e-10,NaN,NaN
15,NaN,NaN,-1.43095797083278e-10,NaN,NaN
