t,IPR_O_Obs,IPR_R_Obs,IPR_I1_Obs,IPR_S_Obs,IPR_I2_Obs
0,-0.00122196319656133,0.995164759738953,-5.50054173728525e-09,-0.00291770051586042,0.0256040917594604
0.09,NaN,0.278832683792167,NaN,NaN,NaN
0.2,0.0330842601155888,0.0550130894008671,NaN,0.0446694398170791,0.20222392430039
0.3,NaN,0.0162538021960308,NaN,NaN,NaN
0.35,NaN,NaN,1.40163102293547e-06,NaN,NaN
0.4,0.0292491886579113,0.00325143380762358,NaN,NaN,0.329163690061653
0.45,NaN,NaN,NaN,0.0733021351229565,NaN
0.55,NaN,-0.0102863558103208,NaN,NaN,NaN
0.6,0.0240739215007829,NaN,NaN,NaN,0.378351664167426
0.7,NaN,0.00259899394002254,8.72313724353841e-07,0.0790938894714299,NaN
0.8,0.0228557202287004,NaN,NaN,NaN,NaN
0.85,NaN,-0.0174172636066059,NaN,NaN,0.432404337263206
0.95,NaN,NaN,NaN,0.0746672634341469,NaN
1,0.0232003100838091,-0.00309604734202659,5.23582481864034e-07,NaN,0.405747749717868
1.5,0.0190324551171734,NaN,2.32337951725231e-07,0.0663909520362878,0.48932554280415
2,0.0189749062937921,NaN,1.06250994827832e-07,0.065262907820566,0.422131262684748
2.5,0.0191634561706055,NaN,7.54061576363721e-08,NaN,NaN
3,0.0179399567277391,NaN,6.11393152370745e-09,NaN,NaN
3.5,0.0181807533474342,NaN,3.21211050600646e-09,NaN,NaN
4,NaN,NaN,2.25753871045933e-08,NaN,NaN
5,NaN,NaN,1.06442665629847e-08,NaN,NaN
6,NaN,NaN,-1.27588994651005e-08,NaN,NaN
