t,IPR_O_Obs,IPR_R_Obs,IPR_I1_Obs,IPR_S_Obs,IPR_I2_Obs
0,-0.00024907732533976,1.00768734439772,9.58234907475877e-09,0.00139306336058311,0.0190208639463991
0.075,NaN,0.0326590355174318,NaN,NaN,NaN
0.15,0.00847079306946117,0.0121369187981168,NaN,NaN,0.304127556891069
0.2,NaN,NaN,NaN,0.0152925566630121,NaN
0.25,NaN,0.0116709042302395,5.16382599873955e-07,NaN,NaN
0.3,0.0062772740608751,NaN,NaN,NaN,0.447911937490209
0.35,NaN,0.00028513108919656,NaN,0.0185293622871898,NaN
0.45,0.00533629973839449,-0.003358474473828,NaN,NaN,NaN
0.5,NaN,NaN,3.54939105474899e-07,NaN,0.581015067367072
0.55,NaN,0.00464668673137439,NaN,0.0205878718964668,NaN
0.65,0.00497037688761957,NaN,NaN,NaN,NaN
0.7,NaN,0.00206171042532508,NaN,NaN,0.643883508037509
0.75,NaN,NaN,2.40205927037387e-07,NaN,NaN
0.8,NaN,NaN,NaN,0.016273055223496,NaN
0.85,0.0049032940801535,-0.0126277345703696,NaN,NaN,NaN
0.95,NaN,NaN,NaN,NaN,0.602472402709719
1,0.00445973227992249,NaN,1.79367085760171e-07,0.0156122257106509,0.643096946089382
1.5,0.0045488728035272,NaN,7.94758764935509e-08,0.0153108629445688,0.580017095928631
2,0.00382804720950325,NaN,4.52759567780691e-08,0.0156871372555511,NaN
2.5,NaN,NaN,7.09362074805754e-09,0.0135427242051071,NaN
3,NaN,NaN,1.13591816326733e-08,NaN,NaN
3.5,NaN,NaN,-2.1124057565108e-09,NaN,NaN
4.5,NaN,NaN,-7.82774481908568e-09,NaN,NaN
