t,IPR_O_Obs,IPR_R_Obs,IPR_I1_Obs,IPR_S_Obs,IPR_I2_Obs
0,-0.000954066609608048,1.01343131811554,8.84979962366022e-11,0.00286616079550632,0.017661430597737
0.1,NaN,0.0949445299035782,NaN,NaN,NaN
0.2,0.033094606088015,NaN,NaN,0.0532054096149273,0.17643131130883
0.25,NaN,-0.0171990928646636,NaN,NaN,NaN
0.35,NaN,0.00360792619256659,NaN,NaN,NaN
0.4,0.0265024750682956,NaN,NaN,0.0762709746207368,0.35651116656487
0.5,NaN,-0.00838896845648645,NaN,NaN,NaN
0.6,NaN,NaN,NaN,NaN,0.432732496410113
0.65,0.0220336526520931,NaN,NaN,0.0703705097830109,NaN
0.7,NaN,0.0148629684996358,NaN,NaN,NaN
0.8,NaN,NaN,NaN,NaN,0.420331730455032
0.85,0.0209128448346796,NaN,NaN,NaN,NaN
0.9,NaN,-0.0232620634978584,NaN,0.0763351584530515,NaN
1,0.0195685627299361,-0.00228145978989748,NaN,0.069813934170094,0.434489410145486
1.5,0.0202783871165491,NaN,NaN,0.0604546041113592,0.452288637544119
2,0.01962959743057,NaN,6.27498366442096e-08,0.0704594632275112,0.513319109239827
2.5,0.0207716648375883,NaN,NaN,NaN,0.467594618149375
3,0.0223258467776198,NaN,NaN,NaN,0.445627908010671
4,NaN,NaN,NaN,NaN,0.492315961031529
4.5,NaN,NaN,8.85004070342575e-11,NaN,NaN
7,NaN,NaN,1.79088648370025e-11,NaN,NaN
9.5,NaN,NaN,-7.38052836647767e-10,NaN,NaN
15,NaN,NaN,-2.25465028129523e-10,NaN,NaN
20,NaN,NaN,9.22319599968291e-11,NaN,NaN
