t,IPR_O_Obs,IPR_R_Obs,IPR_I1_Obs,IPR_S_Obs,IPR_I2_Obs
0,5.27145554818583e-06,1.01509651977924,8.81921974610353e-10,8.32744381539483e-06,0.00795602528395841
0.09,NaN,0.0184643479943294,NaN,NaN,NaN
0.095,NaN,NaN,NaN,NaN,0.254604733188446
0.15,0.000130786066825333,NaN,NaN,NaN,NaN
0.2,NaN,0.00805694359498561,NaN,0.000241670715716373,0.56536974988028
0.3,NaN,-0.00260377674795376,NaN,NaN,0.577303213966088
0.35,7.73493293165327e-05,NaN,NaN,NaN,NaN
0.4,NaN,0.000960624062109073,NaN,NaN,0.681538952448999
0.45,NaN,NaN,NaN,0.000247590890179873,NaN
0.5,6.32164437693533e-05,0.00296950508022979,NaN,NaN,NaN
0.55,NaN,NaN,NaN,NaN,0.718839903316156
0.65,NaN,0.0133522438879459,NaN,NaN,NaN
0.7,5.70487220599267e-05,NaN,NaN,0.000222686863294696,0.688473632141008
0.8,NaN,0.0197116976587689,NaN,NaN,NaN
0.85,NaN,NaN,NaN,NaN,0.706661870400469
0.9,5.38750554231311e-05,NaN,NaN,NaN,NaN
0.95,NaN,NaN,NaN,0.00019674142833598,NaN
1,4.69207616325026e-05,0.00614124801029395,NaN,NaN,0.717571967241949
1.5,5.02500485932777e-05,NaN,8.01059014857956e-08,0.000178586983746207,NaN
2,4.79170566286713e-05,NaN,NaN,0.000158792359099531,NaN
2.5,4.67986326266693e-05,NaN,NaN,0.000181467467193086,NaN
3,5.9270008670766e-05,NaN,NaN,0.000174539550334239,NaN
3.5,NaN,NaN,3.79693133553029e-09,0.000177755507115773,NaN
5.5,NaN,NaN,-8.34162051770938e-11,NaN,NaN
7.5,NaN,NaN,-1.84295993157315e-10,NaN,NaN
10,NaN,NaN,1.85000593679908e-10,NaN,NaN
15,NaN,NaN,1.37596406200377e-11,NaN,NaN
20,NaN,NaN,5.47345317775536e-11,NaN,NaN
