t,AC_Fsk_Obs,RIIp_cAMP_C_2_Obs,Compound_1_Obs
0,0.0367943026323731,0.00976355953286271,2.40263915056238
4,NaN,NaN,2.7276239727039
5.5,NaN,0.0217103947893675,NaN
8,0.0529856608112064,NaN,NaN
8.5,NaN,NaN,2.75628752253575
10,NaN,0.0260898312153692,NaN
15,-0.0306950554113525,NaN,2.46624299264662
20,NaN,0.0224553039355518,2.58763748442896
25,0.0526629131495258,0.022614782406396,3.01083662647032
30,NaN,NaN,3.11219048646059
35,0.0959261916581834,0.0226653981655437,NaN
40,NaN,NaN,2.63950921988437
45,0.00433597495921478,0.0231221709502149,NaN
55,0.0159544960880544,NaN,NaN
70,-0.0579234148176371,NaN,NaN
85,-0.07160086869281,NaN,NaN
100,-0.0505249661077414,NaN,NaN
150,-0.181858975009802,NaN,NaN
