t,pAC_Obs,AC_Fsk_Obs
0,-0.0427413624055379,-0.0458670907962025
15,0.00460257195277656,-0.0778551508062556
30,-0.164351872543781,0.12154637805825
45,-0.19460293937433,-0.115484838810695
60,-0.0135476182661763,0.0176494729269792
75,0.0063388013795666,-0.0447940463832095
95,-0.0060731450278549,-0.278706298496941
100,-0.0111878493021528,-0.0413095314824592
150,-0.0912287330771407,0.0665813202016911
200,0.135945866087114,0.0221056593629202
250,-0.125809782216751,0.208720096617122
300,0.0639923371186293,-0.0443320642745682
350,0.0618681080219005,0.0576300928309693
450,0.118653875490369,-0.0836155713903596
