t,AC_Obs,AC_Fsk_Obs,Compound_1_Obs
0,1.12907721140468,-0.00440676973085496,3.08588934862173
7,NaN,-0.00432780813551488,NaN
8.5,1.179480748563,NaN,NaN
15,NaN,0.000435592893105771,NaN
20,0.955182493563651,NaN,3.12135134118248
25,1.0064203897315,0.00750301641099647,NaN
30,NaN,-0.00316892475497905,NaN
40,0.870965828111166,0.00491054335882801,2.5089809163024
50,0.947221051617637,NaN,NaN
55,NaN,-0.00307939209958137,NaN
60,NaN,NaN,1.43153138856719
65,0.869362680372167,NaN,NaN
70,NaN,0.178029835048934,NaN
80,0.789189018051792,NaN,10.5099003168007
85,NaN,0.186111608800163,NaN
100,0.73899912377608,0.180224626623145,10.7176011305778
150,0.909601978810435,NaN,12.5123719944421
200,NaN,NaN,11.0137791858004
250,NaN,NaN,10.6963796747683
300,NaN,NaN,10.8292221107419
350,NaN,NaN,10.3859284103777
450,NaN,NaN,12.163322048103
