t,AC_Obs,pAC_Obs,Compound_1_Obs
0,0.938233359738109,-0.0896992687848261,0.547841471871481
3,NaN,NaN,1.06465959561926
3.5,1.01502183108294,0.0298138933810625,NaN
6.5,NaN,-0.0628415211261344,-0.0504024548233155
7.5,1.07607730142625,NaN,NaN
10,0.977309084153493,0.195349209020199,1.71448870178194
15,0.694361510286628,0.0309419820806413,23.1958989061668
20,0.61270394788731,-0.122136313546668,21.477446767636
25,0.526772666176446,-0.00162706550694168,22.8838394985103
30,NaN,-0.0478707547708511,23.8946271756057
35,0.526798770379205,0.101703024520996,NaN
40,0.482441545913691,NaN,NaN
45,NaN,0.122530910859761,NaN
50,0.675706478027617,NaN,NaN
60,0.56324823033829,NaN,NaN
