t,AC_Obs,pAC_Obs,Compound_1_Obs
0,0.938859418159645,0.00415609202797033,7.02797984406164
3,0.985276875259247,NaN,11.9989589657962
6,1.01222757397117,NaN,7.29565734575634
9,1.15182679365276,NaN,NaN
9.5,NaN,NaN,9.89871624585122
15,0.555790384854958,0.0916814865583006,109.834318080252
20,0.530687085221985,NaN,116.620668488882
25,0.723338838022363,0.0980608629748318,122.339238059539
30,0.56517806168164,NaN,118.371673293799
35,0.573522624361995,NaN,NaN
40,NaN,-0.0103154728955819,120.38766192093
45,0.536840001025701,NaN,117.852504190794
50,0.640655456030603,NaN,NaN
55,NaN,-0.133119266143656,109.505286728441
60,0.531260392865644,NaN,NaN
70,NaN,-0.00178417653321571,NaN
85,NaN,0.0356840354421911,NaN
100,NaN,-0.0189964998422162,NaN
150,NaN,-0.0426194680889053,NaN
200,NaN,-0.225297676356643,NaN
250,NaN,-0.0622616986964056,NaN
300,NaN,0.102136203381321,NaN
