t,AC_Obs,AC_Fsk_Obs,Compound_1_Obs
0,0.869634515305967,0.00286201417031511,1.81427018726297
7,1.06678047629482,NaN,NaN
9,NaN,-0.00479725000423967,NaN
10,NaN,NaN,2.59555329128877
15,0.892018953775176,NaN,NaN
20,0.943989140118253,0.00236333809987655,NaN
25,NaN,NaN,2.0380322553578
30,1.03648949908923,-0.0100489493721442,NaN
40,1.26753915872635,0.00538733973818623,1.7591673353964
50,0.928085588627562,NaN,NaN
55,NaN,0.00259460676745978,2.97425172939105
65,0.710640238640426,NaN,NaN
70,NaN,NaN,11.8092352667659
75,NaN,0.180543325045819,NaN
80,0.93690515239699,NaN,NaN
90,NaN,NaN,11.2199221994236
95,NaN,0.190033256398407,NaN
100,0.852078568787672,0.195654472020899,11.768428984527
150,NaN,NaN,10.259160221018
