t,AC_Fsk_Obs,RIIp_cAMP_C_2_Obs,Compound_1_Obs
0,0.259290756039953,0.00549421839610484,1.37385938443208
3.5,NaN,NaN,6.35988143524749
4,NaN,0.00063708803539832,NaN
4.5,-0.0950873334377155,NaN,NaN
7,NaN,NaN,9.87020136040059
8.5,NaN,0.000343733473596416,NaN
9.5,-0.0165536345777908,NaN,NaN
10,NaN,NaN,10.1451201013568
15,-0.184345344971176,0.000312825824389436,11.6157306284686
20,0.219299475395027,0.000309055414378223,12.7037529521498
25,NaN,4.21473168154905e-05,NaN
30,-0.220433981112886,9.57328448113939e-05,13.0163156207757
35,NaN,-5.80128308915798e-06,NaN
40,0.0567896103651429,NaN,NaN
