t,AC_Obs,RIIp_cAMP_C_2_Obs,Compound_1_Obs
0,1.02246239244694,0.0242976979380653,-6.25973963163542
0.15,0.578253596288784,NaN,NaN
0.35,0.758728800160309,NaN,NaN
0.55,0.54019881963101,NaN,NaN
0.8,0.524466262401877,NaN,NaN
1,0.516581605037115,NaN,NaN
1.5,0.543650217726618,NaN,NaN
2,NaN,0.14336338092331,NaN
3.5,NaN,NaN,101.885012897819
4.5,NaN,0.155026094750831,NaN
7,NaN,0.134156664622531,NaN
7.5,NaN,NaN,110.279790552775
9.5,NaN,0.118186809684583,NaN
10,NaN,NaN,130.932292631031
15,NaN,0.101326379862302,116.94424478615
20,NaN,0.104110397061721,NaN
25,NaN,0.0911757584377901,126.139281054278
30,NaN,0.0840344809522331,NaN
40,NaN,0.0879021398587559,NaN
