t,AC_Obs,RIIp_cAMP_C_2_Obs,Compound_1_Obs
0,1.00138954617751,0.00381496418570361,2.20356750760745
7.5,0.912765102577741,NaN,NaN
10,NaN,0.00886331241140076,3.07553298617119
15,1.06708060859686,NaN,NaN
20,NaN,0.00517757949199132,1.61494215476049
25,0.928386766334816,NaN,NaN
35,0.99665542643528,0.00077024630332651,1.62430876361474
45,0.897670750569615,0.0132639530471225,NaN
50,NaN,NaN,2.35888991410497
60,0.92306329598947,0.00509144854673602,NaN
65,NaN,NaN,12.0020400278903
75,1.01509730811746,0.100685899515868,NaN
85,NaN,NaN,11.2658110108565
90,0.59376337352524,NaN,NaN
95,NaN,0.0889893155114346,NaN
100,0.936475355864949,0.0842476061806451,10.9325010534794
150,NaN,0.0814603898490525,12.2263016696965
