t,AC_Fsk_Obs,RIIp_cAMP_C_2_Obs,Compound_1_Obs
0,0.0211932380991946,0.00511756043344695,2.18007148719926
8.5,0.0269434068070068,NaN,NaN
15,0.114807671975997,NaN,NaN
20,NaN,NaN,2.58022640548238
25,-0.275694642451883,NaN,NaN
30,NaN,0.00520268320791198,NaN
35,-0.00905440334633282,NaN,NaN
45,NaN,NaN,3.1708679197502
50,-0.0253633191196559,NaN,NaN
55,NaN,0.00467213533069618,NaN
60,0.0984635520705071,NaN,NaN
65,NaN,NaN,2.93529285286203
75,0.027439614361879,NaN,NaN
90,-0.112926906645769,0.00483293771611114,2.87578173861044
100,0.0307510188221154,0.00497012197132465,2.75654139884722
150,-0.0235051311831336,0.00412468998570536,3.1833921425755
200,NaN,0.00384022799550085,2.71925880231155
250,NaN,0.00343696777359115,2.84992356491562
300,NaN,NaN,2.78906326621666
350,NaN,0.00278581237302334,3.07243703698882
450,NaN,0.00253756518735851,3.32094723226424
