t,AC_Obs,pAC_Obs,Compound_1_Obs
0,0.979845499315488,-0.0527833990586931,2.68262870473218
8,1.09522064272882,NaN,NaN
10,NaN,0.00877157279066327,NaN
15,1.13003423100539,NaN,NaN
20,NaN,NaN,2.20761165904851
25,0.806038352501651,-0.157465536631953,NaN
35,1.07006188205949,0.0536650211320997,2.2810725380885
45,0.940607253892413,NaN,NaN
50,NaN,-0.143008136915973,NaN
55,NaN,NaN,2.14976546953057
60,1.07630504355947,NaN,NaN
65,NaN,-0.0192148644781612,NaN
75,0.841568449201812,NaN,5.96433445346874
85,NaN,-0.00880214217666576,NaN
90,1.17338057267667,NaN,NaN
100,1.05114091668499,0.0102491415690979,5.2610538735886
150,NaN,0.210594028368882,5.61916533131046
200,NaN,-0.0667955179153616,6.07602373118979
250,NaN,-0.0372403776911565,5.48805424249147
300,NaN,NaN,5.21844553874522
400,NaN,NaN,4.59361523766396
