t,AC_Obs,RIIp_cAMP_C_2_Obs,Compound_1_Obs
0,1.13542758500832,-0.00568639851239168,4.70794233323166
8.5,0.943478871988858,NaN,NaN
10,NaN,NaN,0.58287364132117
15,NaN,0.0141387146806684,NaN
20,0.93462811479974,NaN,NaN
25,NaN,NaN,2.9027143847
30,1.07052036432497,NaN,NaN
35,NaN,0.000480632226395797,1.97309575586804
40,0.811834357537388,NaN,NaN
50,0.979285444933943,0.00769496072726661,2.91662815669535
60,NaN,NaN,3.28429390785156
65,0.513368273416914,NaN,NaN
70,NaN,0.116076753671958,NaN
75,NaN,NaN,23.2067485908548
80,0.755873609252968,NaN,NaN
90,NaN,0.084601835850886,NaN
95,NaN,NaN,22.42056227982
100,0.505674371605891,0.0857141950315834,22.0870530114091
150,0.348799898943946,0.10010285289875,24.0615912838304
200,NaN,0.0918718210139845,22.7331684177494
250,NaN,0.088993428798776,22.6617078994991
300,NaN,0.089316002977603,23.0269022396873
350,NaN,0.0958294837529235,NaN
