t,AC_Fsk_Obs,RIIp_cAMP_C_2_Obs,Compound_1_Obs
0,0.0268430484811723,0.00507850669415374,1.46063733195267
3,0.0391052234481373,NaN,NaN
3.5,NaN,NaN,1.74784067274148
5,NaN,0.00516528445177132,NaN
6.5,0.00559410594241652,NaN,2.02840782248646
10,-0.059347617981863,0.0055435159337524,2.96132642839769
15,-0.220275064014784,0.000690335737547527,8.28730703980498
20,0.182562508662063,NaN,11.028447643621
25,-0.156661496963102,2.01511114134534e-05,10.9600843832828
30,0.168409739394699,-8.88190280905912e-05,11.1935371057389
35,NaN,NaN,13.3768530796486
40,NaN,0.000508185431605514,12.187508290604
50,NaN,NaN,12.8118292361705
60,NaN,NaN,13.8881792034678
