t,ApoER2_Dab1_Obs,ApoER2_Dab1SFK_Obs,pApoER2_re_Dab1_Obs,ApoER2_re_Dab1_Obs,ApoER2_re_Dab1SFK_Obs,SFK_Obs,ApoER2_Dab1_released_Obs
0,1.00278968358166,8.01567626745633e-05,-3.48122537170198e-05,-8.94708470527369e-07,-3.31254815545515e-05,0.00143876749159698,0.0664088791278555
10,0.0191456983021218,NaN,NaN,NaN,NaN,NaN,NaN
15,NaN,NaN,NaN,3.79215130100267e-05,NaN,NaN,0.912204227091071
20,NaN,1.43484126990652e-06,NaN,NaN,0.00111436101150144,0.000615330846339177,NaN
25,0.0144571587478595,NaN,NaN,3.15035967698859e-05,NaN,NaN,NaN
30,NaN,NaN,0.010367167128247,NaN,NaN,NaN,0.821895973985995
35,NaN,-5.45316267557439e-07,NaN,NaN,NaN,NaN,NaN
40,0.0174491152696417,NaN,NaN,2.39883865819273e-05,NaN,NaN,NaN
45,NaN,NaN,NaN,NaN,0.000888748057948048,0.000877494761326024,0.707287133788224
50,0.00180151675807044,NaN,NaN,NaN,NaN,NaN,NaN
55,NaN,1.00846391463748e-07,NaN,NaN,NaN,NaN,NaN
60,NaN,NaN,0.00785633851074154,1.96306490170745e-05,NaN,NaN,NaN
65,NaN,NaN,NaN,NaN,0.000764998547221045,0.00107953599200245,0.635413519573277
70,0.00237946219277766,NaN,NaN,NaN,NaN,NaN,NaN
75,NaN,NaN,NaN,1.88185293958938e-05,NaN,NaN,NaN
80,NaN,-9.68603229950623e-07,NaN,NaN,NaN,NaN,NaN
85,0.0027212415954786,NaN,NaN,NaN,NaN,NaN,0.47472967863081
90,NaN,NaN,0.00570597966451165,NaN,NaN,NaN,NaN
95,NaN,NaN,NaN,1.87750436607995e-05,0.000579590867463688,0.00101772296729292,NaN
100,0.00863941120801462,-3.18950456143016e-07,0.00495812785649244,2.1098528344824e-05,0.00054790012136817,0.00114255049195496,0.433948695239224
150,-0.00548192799004313,1.30631436530398e-06,0.0027420800341954,1.79616859280316e-05,0.000447278560656242,0.00136419295223889,0.280267878465107
200,0.0108440482687296,NaN,0.00147725912176706,1.14929946783564e-05,0.000291538630554538,0.00140246778328567,0.243854109240806
250,NaN,NaN,0.000560288387505898,1.1596695038603e-05,0.000207926552817924,0.00139225692304454,0.185246884546403
300,NaN,NaN,0.000836862370709339,NaN,0.000166076905408481,0.00150371270092984,0.140585516140619
350,NaN,NaN,NaN,NaN,0.000140168908309088,0.0015622787906132,NaN
400,NaN,NaN,0.000322976383571064,NaN,NaN,NaN,NaN
450,NaN,NaN,0.000455415469023892,NaN,NaN,NaN,NaN
