t,ApoER2_Dab1_Obs,pApoER2_re_Dab1_Obs,ApoER2_re_Dab1_Obs
0,1.0283363299994,6.56295414119279e-06,2.4639888779137e-07
15,NaN,NaN,1.70631838264156e-05
25,0.51714473576715,NaN,NaN
30,NaN,NaN,1.44995129051321e-05
35,NaN,0.00216945071358582,NaN
45,NaN,NaN,1.54202463384376e-05
50,0.559265847892314,NaN,NaN
65,NaN,0.00204312275781825,1.44768491993497e-05
75,0.496801362343262,NaN,NaN
80,NaN,NaN,1.32458962594281e-05
100,0.559310506825423,0.00160178307516183,1.4269900767425e-05
150,0.573093284891867,0.00110366676577893,1.30403993856305e-05
200,0.538413576349633,0.000686077698429332,1.10537236013117e-05
250,0.500732113274717,NaN,1.25341190507039e-05
300,0.577728254561171,0.000244343290326467,1.13217251173241e-05
350,0.491217083556143,0.000168227823906032,NaN
400,0.585828848683572,8.06235015056017e-05,NaN
500,0.623341333217314,9.1987141250146e-05,NaN
600,0.582102728058737,5.26473454653764e-05,NaN
