t,ApoER2_Dab1_Obs,pApoER2_re_Dab1_Obs,ApoER2_re_Dab1_Obs
0,1.09755556565408,2.79911106637751e-06,0.110147953509063
25,NaN,NaN,0.650058794345824
30,0.516934396841617,NaN,NaN
35,NaN,2.35164086352748e-05,NaN
50,NaN,NaN,0.81985601095049
60,0.277349723856039,NaN,NaN
70,NaN,4.57489621163924e-05,NaN
80,NaN,NaN,0.996513393399889
90,0.114670696899853,NaN,NaN
100,0.116187380452241,7.3418835220959e-05,0.979669796760046
150,0.0413800402438991,8.37470200826364e-05,1.26064173144598
200,0.0295574084885538,9.48205086609951e-05,1.18122076855405
250,0.0211608490411146,0.000106113758842723,1.21595203058967
300,0.0248131598339388,0.000103699341460617,NaN
350,NaN,NaN,1.07228306604013
400,0.0445241910975516,0.000107614568082313,1.35045275038416
450,NaN,0.000105104275563151,NaN
500,-0.00604559815017719,NaN,1.3867602539581
600,NaN,0.000107228711688307,1.46911303524441
