t,ApoER2_Dab1_Obs,ApoER2_Dab1SFK_Obs,ApoER2_Dab1SFKInh_Obs
0,1.14077295640337,2.80680198804604e-10,0.001853922133639
8,NaN,2.10161605113396e-10,NaN
10,NaN,NaN,0.00150319452099435
15,NaN,2.42344520693669e-10,NaN
20,NaN,NaN,0.00168303570816611
25,1.14139425291056,2.51487420371868e-10,NaN
30,NaN,NaN,0.00167477680239374
35,NaN,2.28902800109272e-10,NaN
45,NaN,2.52167634582721e-10,0.00154186987498121
55,1.10014210672619,NaN,NaN
60,NaN,2.41480259831043e-10,0.0015513307794982
75,NaN,2.20487054224064e-10,0.00187853683587085
80,1.09184621777453,NaN,NaN
90,NaN,2.52908726860468e-10,NaN
95,NaN,NaN,0.00158790377500347
100,1.32281837961873,2.36005174511227e-10,0.00149037006805052
150,1.12693085126097,NaN,NaN
200,1.13758341397927,NaN,NaN
250,1.27609839291761,NaN,NaN
300,1.34972534100575,NaN,NaN
350,1.30847574170601,NaN,NaN
450,1.29338040308279,NaN,NaN
550,1.42872860238247,NaN,NaN
